"項目","単位","1985_S60","1986_S61","1987_S62","1988_S63","1989_H1","1990_H2","1991_H3","1992_H4","1993_H5","1994_H6","1995_H7","1996_H8","1997_H9","1998_H10","1999_H11","2000_H12","2001_H13","2002_H14","2003_H15","2004_H16","2005_H17","2006_H18","2007_H19","2008_H20","2009_H21","2010_H22","2011_H23","2012_H24","2013_H25","2014_H26","2015_H27","有効数字(少数桁)"
"総人口_由良町","","9273.0","9093.0","8909.0","8834.0","8723.0","8529.0","8427.0","8353.0","8303.0","8134.0","8056.0","8030.0","7891.0","7775.0","7653.0","7625.0","7489.0","7455.0","7412.0","7291.0","7179.0","7012.0","6906.0","6828.0","6671.0","6508.0","6315.0","6185.0","6071.0","5963.0","5839.0",""
"総人口_印南町","","10619.0","10559.0","10511.0","10483.0","10390.0","10315.0","10217.0","10135.0","10118.0","10082.0","10077.0","9969.0","9876.0","9794.0","9712.0","9769.0","9731.0","9599.0","9492.0","9381.0","9192.0","9054.0","8912.0","8816.0","8680.0","8606.0","8547.0","8435.0","8302.0","8195.0","8067.0",""
"総人口_みなべ町","","15261.0","15237.0","15213.0","15206.0","15126.0","15109.0","15039.0","14962.0","14974.0","14954.0","14907.0","14869.0","14823.0","14765.0","14762.0","14734.0","14637.0","14550.0","14478.0","14362.0","14200.0","14081.0","13999.0","13798.0","13613.0","13470.0","13373.0","13188.0","13070.0","12931.0","12741.0",""
"総人口_日高川町","","12006.0","11925.0","11813.0","11799.0","11692.0","11746.0","11656.0","11627.0","11582.0","11542.0","11556.0","11614.0","11660.0","11653.0","11624.0","11607.0","11564.0","11499.0","11464.0","11362.0","11305.0","11213.0","11015.0","10827.0","10671.0","10509.0","10363.0","10266.0","10103.0","9941.0","9780.0",""
"総人口_白浜町","","25264.0","25065.0","25081.0","25003.0","24875.0","24737.0","24693.0","24617.0","24672.0","24720.0","24916.0","24901.0","24935.0","24864.0","24711.0","24563.0","24447.0","24293.0","24065.0","23936.0","23642.0","23378.0","23227.0","23066.0","22900.0","22696.0","22511.0","22267.0","21960.0","21751.0","21534.0",""
"総人口_上富田町","","12702.0","12832.0","12890.0","12930.0","13181.0","13180.0","13276.0","13333.0","13489.0","13601.0","13752.0","13870.0","13945.0","14180.0","14356.0","14501.0","14585.0","14711.0","14807.0","14825.0","14775.0","14804.0","14785.0","14930.0","14838.0","14807.0","14791.0","14849.0","14856.0","14927.0","14986.0",""
"総人口_すさみ町","","6777.0","6696.0","6620.0","6515.0","6404.0","6309.0","6249.0","6162.0","6147.0","6104.0","6066.0","6067.0","6062.0","5999.0","5959.0","5952.0","5886.0","5740.0","5596.0","5480.0","5293.0","5148.0","5055.0","4940.0","4826.0","4730.0","4612.0","4494.0","4400.0","4271.0","4130.0",""
"総人口_那智勝浦町","","22248.0","21911.0","21575.0","21222.0","20923.0","20610.0","20452.0","20201.0","19983.0","20071.0","19943.0","19738.0","19683.0","19619.0","19519.0","19417.0","19254.0","19071.0","18653.0","18448.0","18185.0","17921.0","17720.0","17484.0","17290.0","17080.0","16784.0","16535.0","16216.0","15973.0","15681.0",""
"総人口_太地町","","4314.0","4279.0","4229.0","4219.0","4128.0","4098.0","4008.0","3952.0","3969.0","3948.0","3907.0","3896.0","3864.0","3835.0","3796.0","3777.0","3702.0","3653.0","3626.0","3569.0","3506.0","3466.0","3435.0","3381.0","3309.0","3250.0","3212.0","3197.0","3190.0","3137.0","3086.0",""
"総人口_古座川町","","4584.0","4525.0","4474.0","4386.0","4283.0","4193.0","4097.0","3995.0","3921.0","3894.0","3884.0","3844.0","3803.0","3833.0","3752.0","3726.0","3671.0","3606.0","3544.0","3489.0","3426.0","3362.0","3301.0","3234.0","3178.0","3103.0","3070.0","3016.0","2952.0","2854.0","2825.0",""
"総人口_北山村","","686.0","678.0","685.0","643.0","619.0","613.0","602.0","590.0","583.0","588.0","593.0","605.0","615.0","622.0","635.0","635.0","615.0","610.0","605.0","595.0","570.0","538.0","522.0","515.0","492.0","486.0","485.0","465.0","456.0","441.0","446.0",""
"総人口_串本町","","25148.0","24904.0","24676.0","24379.0","24239.0","23937.0","23646.0","23259.0","22942.0","22736.0","22521.0","22248.0","22020.0","21785.0","21566.0","21429.0","21071.0","20904.0","20716.0","20285.0","19931.0","19587.0","19214.0","18836.0","18578.0","18249.0","17861.0","17575.0","17267.0","16973.0","16559.0",""
"男_県　計","","520172.0","517814.0","515081.0","512895.0","511290.0","510777.0","510558.0","510748.0","511021.0","512726.0","513450.0","512929.0","511694.0","510118.0","508752.0","506882.0","503825.0","500575.0","496688.0","492789.0","488022.0","484681.0","480835.0","477177.0","474202.0","471397.0","467897.0","465771.0","461174.0","457394.0","453211.0",""
"男_和歌山市","","192907.0","192293.0","191217.0","190161.0","189209.0","188886.0","188675.0","188268.0","187959.0","187994.0","187664.0","186770.0","185873.0","184803.0","184304.0","183279.0","182105.0","180699.0","179355.0","178229.0","176825.0","175999.0","175413.0","174841.0","174426.0","174104.0","173486.0","173033.0","172552.0","171854.0","171202.0",""
"男_海南市","","31767.0","31468.0","31096.0","30740.0","30492.0","30229.0","30155.0","29913.0","29680.0","29532.0","29363.0","29186.0","28910.0","28704.0","28455.0","28265.0","27993.0","27857.0","27601.0","27233.0","26945.0","26592.0","26256.0","26015.0","25769.0","25518.0","25217.0","25148.0","24800.0","24490.0","24180.0",""
"男_橋本市","","27245.0","27374.0","27501.0","27992.0","28881.0","29779.0","30411.0","31305.0","31910.0","32611.0","33180.0","33474.0","33637.0","33744.0","33671.0","33545.0","33334.0","33203.0","32836.0","32650.0","32366.0","32185.0","31919.0","31677.0","31473.0","31326.0","31111.0","30943.0","30516.0","30234.0","29917.0",""
"男_有田市","","16839.0","16852.0","16820.0","16724.0","16590.0","16518.0","16491.0","16449.0","16351.0","16246.0","16208.0","16209.0","16149.0","16075.0","15974.0","15874.0","15733.0","15629.0","15469.0","15284.0","15078.0","14922.0","14757.0","14616.0","14522.0","14436.0","14245.0","14177.0","13857.0","13668.0","13459.0",""
"男_御坊市","","14813.0","14721.0","14593.0","14447.0","14283.0","14196.0","14111.0","13964.0","13952.0","13855.0","13797.0","13773.0","13718.0","13625.0","13633.0","13594.0","13588.0","13561.0","13432.0","13255.0","13103.0","12996.0","12854.0","12742.0","12655.0","12620.0","12531.0","12454.0","12320.0","12151.0","11975.0",""
"男_田辺市","","42084.0","41782.0","41537.0","41462.0","41073.0","40896.0","40747.0","40838.0","40826.0","41010.0","40987.0","41003.0","41007.0","40901.0","40757.0","40680.0","40498.0","40208.0","39844.0","39461.0","39038.0","38696.0","38280.0","37809.0","37514.0","37243.0","36877.0","36674.0","36144.0","35618.0","35113.0",""
