"項目","単位","1985_S60","1986_S61","1987_S62","1988_S63","1989_H1","1990_H2","1991_H3","1992_H4","1993_H5","1994_H6","1995_H7","1996_H8","1997_H9","1998_H10","1999_H11","2000_H12","2001_H13","2002_H14","2003_H15","2004_H16","2005_H17","2006_H18","2007_H19","2008_H20","2009_H21","2010_H22","2011_H23","2012_H24","2013_H25","2014_H26","2015_H27","有効数字(少数桁)"
"男_すさみ町","","3154.0","3108.0","3075.0","3014.0","2955.0","2923.0","2883.0","2859.0","2859.0","2837.0","2829.0","2811.0","2810.0","2792.0","2779.0","2772.0","2736.0","2673.0","2595.0","2537.0","2444.0","2386.0","2349.0","2296.0","2268.0","2241.0","2186.0","2154.0","2088.0","2033.0","1967.0",""
"男_那智勝浦町","","10433.0","10234.0","10047.0","9845.0","9677.0","9558.0","9448.0","9329.0","9210.0","9234.0","9180.0","9078.0","9028.0","9016.0","8993.0","8966.0","8874.0","8806.0","8633.0","8530.0","8354.0","8221.0","8117.0","7987.0","7875.0","7788.0","7656.0","7588.0","7417.0","7311.0","7180.0",""
"男_太地町","","1935.0","1922.0","1910.0","1898.0","1842.0","1828.0","1789.0","1767.0","1770.0","1759.0","1734.0","1722.0","1713.0","1707.0","1680.0","1675.0","1654.0","1621.0","1595.0","1567.0","1551.0","1532.0","1523.0","1508.0","1490.0","1459.0","1442.0","1441.0","1449.0","1422.0","1395.0",""
"男_古座川町","","2161.0","2116.0","2087.0","2030.0","1982.0","1935.0","1885.0","1836.0","1804.0","1792.0","1788.0","1753.0","1727.0","1732.0","1682.0","1662.0","1639.0","1611.0","1586.0","1558.0","1526.0","1507.0","1477.0","1446.0","1407.0","1377.0","1364.0","1343.0","1324.0","1277.0","1273.0",""
"男_北山村","","313.0","313.0","313.0","298.0","290.0","293.0","284.0","273.0","268.0","272.0","275.0","283.0","290.0","298.0","307.0","309.0","300.0","294.0","290.0","290.0","280.0","259.0","252.0","244.0","232.0","224.0","225.0","217.0","212.0","202.0","199.0",""
"男_串本町","","11705.0","11576.0","11436.0","11309.0","11231.0","11052.0","10901.0","10739.0","10567.0","10484.0","10392.0","10266.0","10133.0","10043.0","9915.0","9833.0","9676.0","9592.0","9512.0","9333.0","9181.0","9008.0","8864.0","8714.0","8645.0","8500.0","8362.0","8256.0","8094.0","7970.0","7768.0",""
"女_県　計","","567034.0","565575.0","564305.0","563198.0","562955.0","563548.0","563855.0","564276.0","564887.0","566030.0","566985.0","566995.0","566490.0","565689.0","564480.0","563030.0","561020.0","558167.0","555005.0","551868.0","547947.0","544348.0","540740.0","537036.0","533930.0","530801.0","527354.0","522498.0","519359.0","515081.0","510639.0",""
"女_和歌山市","","208445.0","208328.0","207933.0","207591.0","207310.0","207667.0","207714.0","207441.0","206846.0","206577.0","206221.0","205718.0","205034.0","204433.0","203916.0","203272.0","202706.0","201664.0","200690.0","199835.0","198766.0","197845.0","197484.0","197049.0","196772.0","196260.0","195984.0","195303.0","194602.0","193869.0","193083.0",""
"女_海南市","","35451.0","35124.0","34838.0","34540.0","34314.0","34161.0","34118.0","33847.0","33647.0","33485.0","33271.0","32970.0","32805.0","32576.0","32360.0","32108.0","31869.0","31591.0","31385.0","31063.0","30799.0","30389.0","30073.0","29753.0","29514.0","29265.0","28899.0","28586.0","28351.0","28066.0","27699.0",""
"女_橋本市","","29510.0","29525.0","29727.0","30454.0","31486.0","32377.0","33093.0","34151.0","34944.0","35545.0","36149.0","36516.0","36711.0","36994.0","36984.0","36924.0","36797.0","36714.0","36456.0","36328.0","36163.0","36002.0","35757.0","35582.0","35322.0","35035.0","34841.0","34345.0","34264.0","33931.0","33692.0",""
"女_有田市","","18562.0","18561.0","18556.0","18503.0","18362.0","18292.0","18279.0","18205.0","18145.0","18098.0","18075.0","18062.0","18017.0","17983.0","17860.0","17787.0","17667.0","17512.0","17377.0","17289.0","17065.0","16849.0","16661.0","16471.0","16282.0","16156.0","15949.0","15660.0","15514.0","15297.0","15020.0",""
